PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,OPENPRC,NUMTRD
88215,20000519,140.25,142.65625,140.6875,775500,140.625,140.71875,142.65625,
88215,20000522,136.8125,140.59375,139.8125,1850599,139.78125,140,140.59375,
88215,20000523,137.6875,140.21875,137.6875,373900,137.625,137.78125,140.21875,
88215,20000524,136.65625,140.0625,139.75,400300,139.8125,139.9375,137.75,
88215,20000525,137.875,140.9375,138.46875,69600,138.46875,138.59375,140.03125,
88215,20000526,137,138.75,137.84375,237000,137.96875,138.0625,138.48438,
88215,20000530,139.28125,142.4375,142.375,118100,142.375,142.5,139.28125,
88215,20000531,141.875,143.625,142.78125,216900,142.09375,142.21875,141.875,
88215,20000601,143.625,145.0625,145.0625,128700,144.875,144.96875,143.90625,
88215,20000602,147.46875,148.78125,147.9375,108400,147.85938,147.98438,148.3125,
88215,20000605,146.6875,147.65625,146.96875,192100,147.3125,147.4375,147,
88215,20000606,145.6875,147.1875,146.21875,209300,145.90625,146.03125,146.4375,
88215,20000607,145.65625,147.5,147.1875,85400,146.875,147,146.21875,
88215,20000608,145.9375,147.8125,146.65625,248400,146.51563,146.60938,147.8125,
88215,20000609,145.875,147.51563,146.125,20200,146.15625,146.25,147.51563,
88215,20000612,144.85938,146.625,144.85938,17600,144.5625,144.6875,146.625,
88215,20000613,144.5,147.25,146.75,40300,147.125,147.25,145,
88215,20000614,147.125,148.375,147.65625,353900,147.57813,147.67188,147.75,
88215,20000615,146.60938,148.25,147.65625,338500,147.5625,147.6875,147.6875,
88215,20000616,146.46875,148.625,147.0625,855900,146.75,146.875,148.625,
88215,20000619,146.5,149.03125,148.51563,160000,148.40625,148.53125,146.5625,
88215,20000620,147.29688,148.64063,147.70313,182600,147.79688,147.92188,148.625,
88215,20000621,146.875,148.15625,147.85938,137500,147.75,147.875,146.875,
88215,20000622,145,147.4375,145.4375,182900,145.54691,145.67191,147.4375,
88215,20000623,144,145.875,144.34375,238100,144.29688,144.40625,145.5,
88215,20000626,144.8125,146.0625,146.0625,26000,145.75,146.25,145.03125,
88215,20000627,145.25,146.29688,145.25,40900,145,145.5,145.8125,
88215,20000628,145.3125,146.90625,145.92188,51200,145,145.5,145.3125,
88215,20000629,143.5625,145.25,144.15625,48500,143.875,144.375,144.64063,
88215,20000630,143.98438,145.48438,145.48438,16800,145.25,145.625,143.98438,
88215,20000703,145.46875,147.14063,147.14063,7100,147.125,147.625,145.5,
88215,20000705,144.625,146.35938,145.09375,27400,144.5,145,146.26563,
88215,20000706,144.21875,146.125,145.8125,40100,145.625,146.125,144.875,
88215,20000707,146.375,148.5,147.96875,65500,147.75,148.125,146.375,
88215,20000710,147.65625,148.65625,147.71875,77500,147.5,148,147.65625,
88215,20000711,147.25,149,148.28125,40700,148,148.5,147.25,
88215,20000712,148.875,149.9375,149.09375,2642099,149.125,149.625,149.25,
88215,20000713,149.14063,150.28125,149.59375,971600,149.5,150,149.71875,
88215,20000714,149.8125,151.125,150.98438,158800,150.875,151.25,150.25,
88215,20000717,150.59375,151.90625,150.89063,430100,150.75,151.25,150.73438,
88215,20000718,149.375,150.5,149.8125,763600,149.79688,149.92188,150.46875,
88215,20000719,148.40625,149.57813,148.40625,120000,148.25,148.75,149.34375,
88215,20000720,148.76563,150.42188,150.42188,96500,150.125,150.625,148.875,
88215,20000721,147.71875,149.4375,147.71875,601300,147.875,148.375,149.40625,
88215,20000724,146.59375,148.59375,146.59375,251700,146.75,147.25,148.25,
88215,20000725,146.8125,147.51563,147.42188,116700,147,147.5,147.46875,
88215,20000726,145.75,146.89063,146,474800,145.75,146.25,146.875,
88215,20000727,144.875,146.5625,145.39063,94200,145,145.375,145.71875,
