date,low,high,close,volume,open
2001-03-07,125.78,126.71,126.55,1012800,126.71
2001-03-08,126.27,127.11,126.92,107100,126.7
2001-03-09,123.14,125.5,123.47,2122400,125.29
2001-03-12,117.65,122.11,117.78,2014800,122.11
2001-03-13,117.36,119.9,119.72,121900,118.87
2001-03-14,115.85,118.76,116.86,148600,117
2001-03-15,117.2,118.46,117.4,153100,118.28
2001-03-16,115,117.21,115.24,119100,117
2001-03-19,114.95,117.57,117.32,73700,115.91
2001-03-20,114.39,118.16,114.45,49400,117.55
2001-03-21,112,115.07,112.49,170600,114.35
2001-03-22,108.38,112.33,111.71,194400,112.2
2001-03-23,112,114.44,114.44,107800,113
2001-03-26,114.92,116.13,115.79,44200,115.6
2001-03-27,115.52,118.61,118.28,117800,115.73
2001-03-28,115.12,116.92,115.32,130700,116.92
2001-03-29,113.73,116.33,115.34,78300,114.74
2001-03-30,114.7,116.72,116.72,881200,115.84
2001-04-02,114.05,117.16,114.25,299900,116.1
2001-04-03,110.25,114,110.33,136600,113.8
2001-04-04,109.53,111.97,110.61,897100,110.4
2001-04-05,112.87,115.4,114.99,807200,112.87
2001-04-06,112.28,114.14,113.37,139300,114
2001-04-09,113,114.82,113.67,397800,113.8
2001-04-10,115.15,117.79,116.83,786300,115.47
2001-04-11,116.3,118.5,116.9,110900,118.3
2001-04-12,116.22,118.58,118.57,692800,116.24
2001-04-16,117.02,118.61,117.85,590400,118.42
2001-04-17,117.15,119.65,119.12,1401300,117.15
2001-04-18,120.67,125.95,124.24,244500,121.15
2001-04-19,123.7,125.7,125.51,2022100,124.2
2001-04-20,123.87,125.28,124.85,1065800,124.95
2001-04-23,122.12,123.79,122.38,56400,123.75
2001-04-24,121.19,123.7,121.51,132700,122.5
2001-04-25,121.12,123.53,123.18,152200,121.5
2001-04-26,123.6,125.13,123.73,60700,123.65
2001-04-27,124.42,125.73,125.73,852200,124.85
2001-04-30,124.91,127.33,125.2,414500,126.25
2001-05-01,124.68,127.18,127.18,61600,125.08
2001-05-02,126.15,127.57,126.95,696300,127.57
2001-05-03,124.36,125.9,125.42,951900,125.9
2001-05-04,123.54,127.25,127.25,1281900,123.87
2001-05-07,126.2,127.32,126.2,97700,126.72
2001-05-08,125.75,127.05,126.35,124100,127
2001-05-09,125.08,126.58,125.85,1092400,125.32
2001-05-10,125.79,127.44,126.25,51200,127.44
2001-05-11,124.5,126.41,125.16,94600,126.25
2001-05-14,124.47,125.42,125.35,111700,125.05
2001-05-15,125,126.19,125.32,56100,125.4
2001-05-16,124.75,129.08,128.95,87100,124.75
2001-05-17,128.75,130.08,129.36,114000,129.00999
2001-05-18,128.64999,129.78,129.78,71400,129.09
2001-05-21,129.39999,131.75,131.67,1092200,129.8
2001-05-22,131.2,132.03,131.3,556500,131.88
2001-05-23,129.38,130.89999,129.38,874900,130.7
2001-05-24,128.7,129.96001,129.77,1064100,129.64999
2001-05-25,128.10001,129.67,128.17,505400,129.66
2001-05-29,127,128.38,127.18,182400,128.38
2001-05-30,125,127.05,125.31,265400,126.71
2001-05-31,125.25,126.64,125.73,1876800,125.65
2001-06-01,125.15,127.06,126.89,432400,126.15
2001-06-04,126.31,127.18,127.08,214800,126.98
2001-06-05,127.37,129.23,128.85001,150700,127.4
2001-06-06,127.34,128.72,127.56,121800,128.72
2001-06-07,127.05,128.14,128.13,383600,127.37
2001-06-08,126.2,127.81,127.15,59400,127.81
2001-06-11,125.05,126.68,125.77,448800,126.6
2001-06-12,123.66,126.27,125.59,413500,124.7
2001-06-13,124.47,126.15,124.56,102100,125.58
2001-06-14,121.61,123.91,121.61,396600,123.91
2001-06-15,120.66,122.27,121.84,429300,120.9
2001-06-18,120.95,122.31,120.95,3350000,121.71
2001-06-19,121,122.88,121.35,76400,122.42
2001-06-20,121.13,122.72,122.28,203800,121.13
2001-06-21,122.12,124.24,123.68,64400,122.12
2001-06-22,122.44,123.59,122.88,326400,123.51
2001-06-25,121.6,123.38,122.16,217800,123.13
2001-06-26,120.7,122.39,121.52,248600,120.75
2001-06-27,120.99,122.21,121.31,142500,121.54
2001-06-28,122,123.81,122.81,68000,122
2001-06-29,122.53,123.98,122.69,601600,122.8
2001-07-02,122.7,124.24,123.91,44000,123.01
2001-07-03,123.14,124,124,34200,123.88
2001-07-05,122,123.46,122,1682400,123
2001-07-06,118.86,121.42,118.86,1753500,121.3
2001-07-09,119.4,120.4,119.68,1011900,119.55
2001-07-10,118.21,120.53,118.32,437000,120.43
2001-07-11,117.24,118.67,118.28,108800,118.2
2001-07-12,119.38,121.37,121.18,315100,119.52
2001-07-13,120.66,122.2,122,101800,120.81
2001-07-16,120.29,122.11,120.73,960100,121.9
2001-07-17,119.98,121.84,121.7,39400,120.31
2001-07-18,120.25,121.17,120.89,76400,120.58
2001-07-19,121,122.88,121.39,61600,122
2001-07-20,121.15,121.84,121.25,459100,121.3
2001-07-23,119,121.78,119,60600,121.78
2001-07-24,116.73,119.08,117.67,823000,119
2001-07-25,117.63,119.4,119.25,599800,117.81
2001-07-26,118.65,120.82,120.77,155800,118.92
2001-07-27,119.96,121.25,120.85,61600,120.62
2001-07-30,120.33,121.12,120.77,43800,121.12
2001-07-31,120.91,122.65,121.3,142800,120.98
2001-08-01,121.64,122.69,122.09,41600,122.02
2001-08-02,121.95,123.05,122.48,107700,123
2001-08-03,120.99,122.23,121.93,91000,122.23
2001-08-06,120.1,121.47,120.34,57900,121.47
2001-08-07,120,121.15,120.83,54000,120.33
2001-08-08,118.53,121.04,118.54,55500,120.09
2001-08-09,117.93,118.78,118.78,83800,118.56
2001-08-10,117.45,119.65,119.52,60900,118.62
2001-08-13,118.91,119.65,119.51,248000,119.55
2001-08-14,118.86,120.28,119.3,84700,120
2001-08-15,118.16,119.45,118.16,65500,119.35
2001-08-16,117.1,118.6,118.57,63800,117.63
2001-08-17,116.1,117.77,116.79,79800,117.55
2001-08-20,116.62,117.61,117.44,39500,116.75
2001-08-21,116,118.48,116,320800,117.7
2001-08-22,116,117.3,117.04,195500,116.68
2001-08-23,116.59,117.46,116.66,219700,116.84
2001-08-24,116.76,119,118.69,177400,117.01
2001-08-27,118.36,119.07,118.36,55600,118.79
2001-08-28,116.62,118.41,116.65,150000,118.23
2001-08-29,115.27,117.11,115.49,91700,117.11
2001-08-30,112.92,115.67,113.18,154500,115.1
2001-08-31,113.2,114.65,114.23,129500,113.2
2001-09-04,113.48,116.05,113.48,1937500,114.01
2001-09-05,112,114.05,113.55,226700,113.29
2001-09-06,111.17,113.15,111.17,60500,112.63
2001-09-07,108.73,111.08,108.79,136300,110.15
2001-09-10,107.84,110.27,110.05,138900,107.85
2001-09-17,101.8,106.3,104.4,401100,102
2001-09-18,103.5,105.25,103.6,221700,104
2001-09-19,98.7,104.45,102.05,330400,104
2001-09-20,98.95,101,99.05,850100,100.5
2001-09-21,94.25,99.2,97.25,206200,95.25
2001-09-24,99.55,101.5,100.66,224200,100
2001-09-25,100.35,102.35,101.75,124100,101.25
2001-09-26,100.75,102.85,101.25,340000,102.8
2001-09-27,100.4,102.5,102.25,344100,101.35
2001-09-28,103,104.65,104.4,327900,103
2001-10-01,103.25,104.64,104.64,77400,104.13
2001-10-02,103.7,105.51,105.51,283700,103.89
2001-10-03,104.24,107.76,107.36,145100,104.5
2001-10-04,106.88,108.65,107.48,303700,108.1
2001-10-05,105.59,107.49,107.21,105400,107
2001-10-08,105.89,107.1,106.5,154900,106.22
2001-10-09,105.65,106.51,105.95,110800,106.51
2001-10-10,105.52,108.43,108.24,182400,105.7
2001-10-11,109.05,110.01,109.97,160200,109.05
2001-10-12,107.25,109.5,109.47,177600,109.12
2001-10-15,108.1,109.37,109.17,115200,108.55
2001-10-16,108.95,110.34,109.92,170500,109.7
2001-10-17,107.91,111.06,107.91,164100,111
2001-10-18,106.73,108.01,107.38,201600,107.77
2001-10-19,106,107.8,107.28,159100,106.84
2001-10-22,107.23,109.43,109.43,116700,107.23
2001-10-23,108.39,110.1,108.63,157700,109.81
2001-10-24,108.19,109.18,108.64,156000,108.78
2001-10-25,106.78,110.2,110.05,245100,107.46
2001-10-26,109.8,111.11,110.72,160500,109.8
2001-10-29,107.48,110.35,107.48,101000,110.13
2001-10-30,105.63,107.1,106.15,119600,107.1
2001-10-31,105.86,107.71,105.86,1253300,106.87
2001-11-01,105.85,108.82,108.41,251000,106.55
2001-11-02,107.86,109.26,109.17,94600,108.4
2001-11-05,110.05,110.91,110.59,97600,110.05
2001-11-06,109.82,112.27,112.27,82800,110.25
2001-11-07,111.54,112.91,112.07,316800,111.55
2001-11-08,111.93,113.9,112.17,52500,112.54
2001-11-09,111.42,112.62,112.6,115600,112.02
2001-11-12,109.96,112.52,112,153400,111.3
2001-11-13,113.19,114.36,114.36,179400,113.5
2001-11-14,113.75,115.28,114.56,161000,115.18
2001-11-15,113.89,115.08,114.88,180200,114.25
2001-11-16,113.31,114.9,114.27,97100,114.9
2001-11-19,114.43,115.69,115.69,161000,114.98
2001-11-20,114.63,115.54,114.75,76300,115.25
2001-11-21,113.54,114.55,113.86,284700,114.55
2001-11-23,114.02,115.69,115.69,27500,114.07
2001-11-26,115.09,116.22,115.98,201900,115.69
