date,oil
19880624,15.65
19880624,15.65
19880627,15.1
19880628,15.27
19880629,14.97
19880630,14.85
19880701,14.6
19880704,14.35
19880705,14.58
19880706,14.68
19880707,15.13
19880708,15.05
19880711,14.5
19880712,14.1
19880713,14.17
19880714,14.06
19880715,14.18
19880718,14.8
19880719,15.08
19880720,15.13
19880721,15.45
19880722,15.71
19880725,15.69
19880726,15.32
19880727,15.42
19880728,15.67
19880729,15.7
19880801,15.56
19880802,15.38
19880803,15
19880804,14.48
19880805,14.63
19880808,15.3
19880809,15.34
19880810,15.08
19880811,15.09
19880812,15.2
19880815,14.93
19880816,15.02
19880817,14.95
19880818,15.03
19880819,15.1
19880822,15.2
19880823,14.99
19880824,15.09
19880825,14.88
19880826,14.7
19880830,14.65
19880831,14.6
19880901,14.4
19880902,14.21
19880905,13.99
19880906,13.78
19880907,13.5
19880908,13.59
19880909,13.72
19880912,12.99
19880913,13.6
19880914,14.4
19880915,13.95
19880916,13.74
19880919,13.46
19880920,13.6
19880921,13.52
19880922,13.58
19880923,13.52
19880926,13.43
19880927,12.98
19880928,12.97
19880929,12.73
19880930,12.24
19881003,11.85
19881004,11.78
19881005,11.35
19881006,11.47
19881007,11.49
19881010,12
19881011,12.55
19881012,12.42
19881013,12.71
19881014,13.11
19881017,13.7
19881018,13.23
19881019,13.49
19881020,13.74
19881021,13.55
19881024,12.4
19881025,12.3
19881026,12.33
19881027,12.5
19881028,12.82
19881031,12.74
19881101,12.44
19881102,12.56
19881103,12.75
19881104,12.95
19881107,12.96
19881108,12.82
19881109,12.8
19881110,12.95
19881111,13.2
19881114,13.15
19881115,13.11
19881116,12.78
19881117,12.26
19881118,12.04
19881121,12.03
19881122,12.8
19881123,13.2
19881124,12.77
19881125,14.48
19881128,14.58
19881129,13.95
19881130,14.05
19881201,14.49
19881202,14.5
19881205,14.34
19881206,14.1
19881207,14.29
19881208,14.7
19881209,14.47
19881212,14.53
19881213,14.53
19881214,14.6
19881215,14.75
19881216,14.81
19881219,14.67
19881220,14.82
19881221,14.96
19881222,14.99
19881223,15.08
19881228,15.55
19881229,15.3
19881230,15.52
19890103,15.72
19890104,15.96
19890105,15.91
19890106,16.25
19890109,16.34
19890110,16.2
19890111,15.8
19890112,15.75
19890113,16.12
19890116,16.28
19890117,16.43
19890118,16.74
19890119,17.09
19890120,17
19890123,16.2
19890124,16.01
19890125,16.55
19890126,16.76
19890127,16.3
19890130,15.97
19890131,15.91
19890201,15.8
19890202,16.12
19890203,16.17
19890206,15.99
19890207,15.99
19890208,16.18
19890209,16.05
19890210,15.82
19890213,15.43
19890214,15.67
19890215,15.6
19890216,15.8
19890217,16.01
19890220,16.24
19890221,16.25
19890222,16.13
19890223,16.28
19890224,16.15
19890227,16.6
19890228,16.4
19890301,16.58
19890302,16.72
19890303,16.95
19890306,17.05
19890307,16.96
19890308,16.84
19890309,17.26
19890310,17.11
19890313,16.86
19890314,17.26
19890315,17.65
19890316,17.67
19890317,17.91
19890320,17.88
19890321,18.32
19890322,18.52
19890323,18.66
19890328,18.58
19890329,18.65
19890330,19.16
19890331,19.58
19890403,18.93
19890404,18.96
19890405,18.88
19890406,18.43
19890407,18.55
19890410,18.63
19890411,18.72
19890412,18.31
19890413,18.43
19890414,18.23
19890417,18.59
19890418,18.91
19890419,19.79
19890420,20.21
19890421,19.89
19890424,19.64
19890425,19.31
19890426,19.34
19890427,19.02
19890428,18.62
19890502,18.32
19890503,17.84
19890504,18.71
19890505,18.49
19890508,17.85
19890509,18.02
19890510,17.97
19890511,17.93
19890512,17.4
19890515,17.4
19890516,17.78
19890517,17.25
19890518,17.13
19890519,17.3
19890522,16.76
19890523,17.17
19890524,17.42
19890525,17.65
19890526,17.25
19890530,17.55
19890531,17.64
19890601,17.58
19890602,17.54
19890605,18.03
19890606,18.04
19890607,17.87
19890608,17.35
19890609,17.58
19890612,16.63
19890613,16.23
19890614,16.18
19890615,16.26
19890616,16.12
19890619,16.22
19890620,16.34
19890621,16.48
19890622,16.88
19890623,17.2
19890626,17.35
19890627,17.47
19890628,17.45
19890629,17.55
19890630,17.51
19890703,17.82
19890704,17.97
19890705,18.04
19890706,17.68
19890707,17.6
19890710,17.46
19890711,17.49
19890712,17.21
19890713,17.05
19890714,17.39
19890717,17.43
19890718,17.54
19890719,17.34
19890720,17.47
19890721,17.41
19890724,17
19890725,16.92
