caldt,vwretd,vwretx,totval,usdval,usdcnt,spindx,sprtrn
19800102,-0.020016,-0.020036,693250243,707416137,500,105.76,-0.020196
19800103,-0.004558,-0.004558,690312506,693250243,500,105.22,-0.005106
19800104,0.012308,0.01212,698274355,689912339,499,106.52,0.012355
19800107,0.003118,0.003074,700420584,698274355,499,106.81,0.002722
19800108,0.021196,0.021195,715266010,700420584,499,108.95,0.020036
19800109,-0.000244,-0.000318,714221882,714449060,498,109.05,0.000918
19800110,0.008331,0.00833,721152111,714221882,498,109.89,0.007703
19800111,0.000991,0.000977,721856827,721152111,499,109.92,0.000273
19800114,0.003513,0.003295,724235250,721856827,499,110.38,0.004185
19800115,0.00718,0.00708,729363130,724235250,499,111.14,0.006885
19800116,-0.000938,-0.000938,728680112,729363130,499,111.05,-0.00081
19800117,-0.003406,-0.003419,727481847,728680112,499,110.7,-0.003152
19800118,0.003572,0.003543,730059256,727481847,500,111.07,0.003342
19800121,0.009701,0.009647,737102880,730059256,500,112.1,0.009273
19800122,-0.005548,-0.00556,733032279,737102880,500,111.51,-0.005263
19800123,0.017748,0.017744,746039656,733032279,500,113.44,0.017308
19800124,0.001654,0.001638,747239091,746039656,500,113.7,0.002292
19800125,-0.000765,-0.000955,746525673,747239091,500,113.61,-0.000792
19800128,0.011111,0.010601,754439727,746525673,500,114.85,0.010915
19800129,-0.00598,-0.006313,749777810,754439727,500,114.07,-0.006791
19800130,0.010413,0.010196,757586830,749777810,500,115.2,0.009906
19800131,-0.009091,-0.009332,750494264,757586830,500,114.16,-0.009028
19800201,0.00906,0.008898,755965174,749284025,498,115.12,0.008409
19800204,-0.005178,-0.007063,747937758,753052258,497,114.37,-0.006515
19800205,0.002725,0.002467,752535395,747937758,498,114.66,0.002536
19800206,0.011094,0.010273,760266306,752535395,499,115.72,0.009245
19800207,0.004464,0.003984,763297100,760266306,499,116.28,0.004839
19800208,0.014556,0.014046,774020905,763297100,499,117.95,0.014362
19800211,-0.007286,-0.007409,768273526,774020905,499,117.12,-0.007037
19800212,0.007942,0.007942,774375640,768273526,499,117.9,0.00666
19800213,0.003401,0.003293,776926974,774375640,499,118.44,0.00458
19800214,-0.015224,-0.015369,767224224,776926974,499,116.72,-0.014522
19800215,-0.009371,-0.009859,759660351,767224224,500,115.41,-0.011223
19800219,-0.007096,-0.007303,754112630,759660351,500,114.6,-0.007018
19800220,0.016789,0.016544,766588914,754112630,500,116.47,0.016318
19800221,-0.010964,-0.01113,758057042,766588914,500,115.28,-0.010217
19800222,-0.001908,-0.001932,756597862,758057042,500,115.04,-0.002082
19800225,-0.013361,-0.014996,745251815,756597862,500,113.33,-0.014864
19800226,0.006659,0.006293,749997487,745251815,500,113.98,0.005735
19800227,-0.014352,-0.014475,739141923,749997487,500,112.38,-0.014038
19800228,0.000227,0.000113,739461768,739141923,500,112.35,-0.000267
19800229,0.011372,0.011133,747780101,739461768,500,113.66,0.01166
19800303,-0.009853,-0.010103,740225323,747780101,500,112.5,-0.010206
19800304,0.003319,0.002954,742412787,740225323,500,112.78,0.002489
