date,ust1,ust2,ust5,ust10,ust5vs2,ust10vs2
20000103,6.0853143254,6.2751059684,6.5144516436,6.483560432,0.2393456752,0.2084544636
20000104,5.9984764173,6.1888081475,6.3980101122,6.389269943,0.2092019647,0.200461795500001
20000105,6.0520856896,6.2506702841,6.4766100104,6.4838776848,0.2259397263,0.2332074007
20000106,6.0252570073,6.2033384751,6.4189229083,6.4268111109,0.2155844332,0.2234726358
20000107,6.0266196698,6.2013417996,6.4013482703,6.4072114865,0.2000064707,0.2058696869
20000110,6.0838168061,6.255474639,6.4484313917,6.4449970553,0.1929567527,0.1895224163
20000111,6.1140168548,6.3221490207,6.5418304881,6.5490773604,0.2196814674,0.2269283397
20000112,6.1402855747,6.3557196853,6.579878963,6.5870844597,0.2241592777,0.231364774399999
20000113,6.1008376021,6.2871628016,6.4859022853,6.5200242735,0.1987394837,0.2328614719
20000114,6.1065792613,6.3186668785,6.53284846,6.5651770531,0.2141815815,0.2465101746
20000118,6.1090306091,6.348999787,6.5899390847,6.6374092987,0.2409392977,0.288409511699999
20000119,6.0897881106,6.3282503497,6.5613911163,6.6196868617,0.2331407666,0.291436512
20000120,6.108196914,6.3790481758,6.6122974671,6.6714928945,0.2332492913,0.2924447187
20000121,6.0678226967,6.3456228632,6.5981686768,6.6559649581,0.2525458136,0.3103420949
20000124,6.0259663024,6.2999195546,6.51512074,6.5737072107,0.215201185400001,0.273787656100001
20000125,6.0912366614,6.3255629187,6.544323988,6.5783607115,0.2187610693,0.2527977928
20000126,6.0929153022,6.3300669163,6.5211387756,6.5517774814,0.1910718593,0.2217105651
20000127,6.133112467,6.423894592,6.6029359711,6.5832095,0.1790413791,0.159314908
20000128,6.17355556,6.4626619417,6.6368896492,6.5521464419,0.1742277075,0.089484500199999
20000131,6.2356992746,6.4986542927,6.6420189087,6.5471278498,0.143364616,0.0484735571
20000201,6.2502388721,6.4762901264,6.6303614461,6.5100151049,0.1540713197,0.0337249785
20000202,6.1806740451,6.4888971832,6.6125459801,6.4575006054,0.1236487969,-0.0313965778
20000203,6.2031804247,6.4334880025,6.5061653743,6.3376238535,0.0726773718,-0.095864149
20000204,6.2298432,6.5286900326,6.6288002745,6.4406844975,0.1001102419,-0.0880055351
20000207,6.2660300054,6.5670187303,6.7076336363,6.5294707546,0.140614906,-0.0375479757
20000208,6.2483508368,6.5715509086,6.6941678538,6.5029247304,0.1226169452,-0.0686261782
20000209,6.2142490804,6.5469523591,6.6895486884,6.5544047929,0.1425963293,0.007452433799999
20000210,6.2291050677,6.5514721943,6.7354563538,6.6477579776,0.1839841595,0.096285783299999
20000211,6.1783647972,6.5059461168,6.66790699,6.5682146643,0.1619608732,0.062268547500001
20000214,6.2024497434,6.5089574968,6.639839799,6.5402726413,0.1308823022,0.0313151445
20000215,6.1967413954,6.5113670195,6.6555736653,6.5326421201,0.144206645800001,0.021275100600001
20000216,6.1951655518,6.4949012276,6.65161514,6.5422300346,0.1567139124,0.047328807000001
20000217,6.2603518542,6.5498423026,6.6867099376,6.5708730684,0.136867635,0.0210307658
20000218,6.2087306721,6.5291655985,6.6232993208,6.4932973387,0.094133722300001,-0.0358682598
20000222,6.1855924058,6.4291269328,6.5029738882,6.3755023952,0.0738469554,-0.0536245376
20000223,6.2348802238,6.501286531,6.5856843416,6.4575263733,0.084397810600001,-0.0437601577
20000224,6.195114118,6.4253480849,6.5338576756,6.3850080681,0.1085095907,-0.0403400168
20000225,6.1295645516,6.3133532803,6.4441649212,6.3514130568,0.130811640899999,0.0380597765
20000228,6.2403370042,6.4262631912,6.5435450962,6.4412329567,0.117281905,0.0149697655
20000229,6.2181851925,6.4302303688,6.5457533036,6.4285346857,0.1155229348,-0.0016956831
20000301,6.2118694619,6.4120005866,6.5257759127,6.4003282207,0.113775326100001,-0.0116723659
20000302,6.2375838503,6.4205035979,6.5475134986,6.4015035362,0.1270099007,-0.0190000617
20000303,6.227272309,6.4125316718,6.5346232078,6.4026798634,0.122091536,-0.0098518084
20000306,6.252735464,6.440262489,6.5572857647,6.4256441184,0.117023275699999,-0.0146183706
20000307,6.2423650677,6.3783987997,6.5159005407,6.3891003795,0.137501740999999,0.0107015798
20000308,6.2400877977,6.3931511236,6.5234460544,6.4152385355,0.1302949308,0.0220874119
20000309,6.2255526475,6.3871742036,6.4918496394,6.3759432308,0.1046754358,-0.0112309728
20000310,6.2805501373,6.4519280996,6.5376772992,6.4170527952,0.0857491996,-0.0348753044
20000313,6.2574566136,6.4236820202,6.5238341855,6.4044982912,0.1001521653,-0.019183729
20000314,6.2593408253,6.3633612866,6.4440987999,6.3309257171,0.0807375133,-0.0324355695
20000315,6.2778431333,6.3991642237,6.441828897,6.3232573573,0.0426646733,-0.0759068664
20000316,6.275637161,6.3659127557,6.4031064258,6.2968554933,0.0371936701,-0.0690572624
20000317,6.269248272,6.3745378215,6.3732904282,6.2529322337,-0.0012473933,-0.1216055878
20000320,6.2961868546,6.4216409226,6.3912872597,6.2580062128,-0.0303536629,-0.1636347098
20000321,6.3066812489,6.4008536226,6.3525423889,6.2037915304,-0.0483112337,-0.197062092199999
20000322,6.2664432888,6.3800220101,6.3360215755,6.1885221925,-0.0440004346,-0.1914998176
20000323,6.2556980187,6.3929752183,6.3248259704,6.1509174793,-0.0681492479,-0.242057739
20000324,6.3172525529,6.5034994552,6.4329514943,6.2598413291,-0.0705479609,-0.2436581261
20000327,6.2979784912,6.517587257,6.4296915054,6.2456916091,-0.0878957516,-0.2718956479
20000328,6.2914882095,6.4945755528,6.3952359592,6.2122613773,-0.0993395936,-0.2823141755
20000329,6.2892816632,6.4928683865,6.3724032962,6.2084645868,-0.1204650903,-0.2844037997
20000330,6.2610927224,6.3950120096,6.2907745313,6.1102639173,-0.1042374783,-0.2847480923
20000331,6.2990443762,6.3863464947,6.2590902158,5.9157209222,-0.1272562789,-0.4706255725
20000403,6.2625629692,6.3321461873,6.2173728393,5.8751773255,-0.114773348,-0.4569688618
20000404,6.138113305,6.2169793355,6.0838689557,5.7970854586,-0.1331103798,-0.4198938769
20000405,6.2058004207,6.2123760374,6.0858737606,5.7755432303,-0.1265022768,-0.4368328071
20000406,6.2658349981,6.306388972,6.1738432443,5.8327323311,-0.132545727699999,-0.4736566409
20000407,6.2696374418,6.2812962965,6.1208881452,5.7568624989,-0.1604081513,-0.5244337976
20000410,6.2119496862,6.1644662767,6.0251321303,5.683115321,-0.1393341464,-0.4813509557
20000411,6.2524075215,6.234133108,6.1245903073,5.7821401921,-0.1095428007,-0.4519929159
20000412,6.2480499449,6.2688552747,6.1684378471,5.8534685173,-0.1004174276,-0.4153867574
20000413,6.2436719785,6.2559856332,6.1357887246,5.8102945962,-0.1201969086,-0.445691037
20000414,6.1487422073,6.1622092116,6.0791777298,5.7637833091,-0.083031481800001,-0.398425902500001
20000417,6.2384040984,6.2771398731,6.2279767583,5.9440357698,-0.049163114800001,-0.3331041033
20000418,6.2381173682,6.2600291139,6.2175547557,5.9641866123,-0.0424743582,-0.2958425016
20000419,6.2294851464,6.2470589448,6.1919177545,5.8993651097,-0.0551411903,-0.3476938351
20000420,6.2542908904,6.2717171486,6.1931167615,5.899247977,-0.0786003871,-0.3724691716
20000424,6.2660596018,6.3037246835,6.1916550946,5.9250553204,-0.112069588900001,-0.3786693631
20000425,6.3168232539,6.3961826711,6.3197203427,6.0327130751,-0.0764623284,-0.363469596
20000426,6.3167771961,6.4128523282,6.3300280061,6.0346681812,-0.0828243221,-0.378184147
20000427,6.3808239483,6.5398496812,6.4300346303,6.1248846708,-0.1098150509,-0.4149650104
20000428,6.4494007478,6.569683344,6.4194048594,6.1145150928,-0.150278484599999,-0.4551682512
20000501,6.4959627567,6.6132184675,6.4624739407,6.1762811861,-0.150744526800001,-0.436937281400001
20000502,6.5047399737,6.5926849262,6.4715036239,6.1990383855,-0.1211813023,-0.393646540700001
20000503,6.545663302,6.6380499477,6.5478907028,6.2928172979,-0.0901592449,-0.3452326498
20000504,6.5546285092,6.6484548659,6.5543068803,6.3284405463,-0.094147985599999,-0.320014319599999
20000505,6.6201442718,6.7209681157,6.632916296,6.4000791095,-0.0880518197,-0.3208890062
20000508,6.6316948597,6.7464920603,6.6814220745,6.4488111711,-0.065069985799999,-0.2976808892
20000509,6.6451148982,6.7342297131,6.6498626391,6.4169774676,-0.084367074,-0.317252245500001
20000510,6.6095157905,6.6823649446,6.565877512,6.31462674,-0.1164874326,-0.3677382046
20000511,6.6352588214,6.7012824551,6.5741416901,6.3051489039,-0.127140765,-0.3961335512
20000512,6.7228859094,6.789239862,6.6848912864,6.4063619242,-0.1043485756,-0.382877937800001
20000515,6.6899285785,6.737653701,6.624556238,6.3413415854,-0.113097463,-0.3963121156
20000516,6.7287648899,6.760995973,6.6355278658,6.3176294095,-0.1254681072,-0.4433665635
20000517,6.7636567763,6.7886209398,6.6674445045,6.3851427458,-0.121176435300001,-0.403478194000001
20000518,6.769446043,6.7973557802,6.6857606051,6.4307439964,-0.1115951751,-0.3666117838
20000519,6.7123167605,6.7322714057,6.6166627844,6.3814191694,-0.1156086213,-0.3508522363
20000522,6.6998602875,6.7054710195,6.582315395,6.3348862488,-0.1231556245,-0.3705847707
20000523,6.6758761831,6.68661511,6.5778273133,6.3280131442,-0.1087877967,-0.3586019658
20000524,6.7113106263,6.7249765832,6.6252259197,6.3644367842,-0.0997506635,-0.360539799
20000525,6.6616402506,6.6678784324,6.5552068023,6.2863866319,-0.1126716301,-0.3814918005
20000526,6.6373657464,6.6319264442,6.4935135034,6.2187571066,-0.1384129408,-0.4131693376
20000530,6.6383852236,6.6302716381,6.493597633,6.2186015204,-0.1366740051,-0.4116701177
20000531,6.6387005732,6.6097359429,6.4391675328,6.1663778541,-0.1705684101,-0.4433580888
20000601,6.5792861965,6.5234823387,6.3459692901,6.0833066802,-0.1775130486,-0.4401756585
20000602,6.5315825637,6.4618189799,6.3026131755,6.0558668991,-0.1592058044,-0.405952080800001
20000605,6.51585743,6.436958623,6.2834785884,6.0195795196,-0.153480034599999,-0.4173791034
20000606,6.5159490093,6.4368948585,6.2870183101,6.0256809049,-0.1498765484,-0.4112139536
20000607,6.5362820725,6.4761317632,6.3158620502,6.0539702194,-0.160269713,-0.4221615438
20000608,6.5283181084,6.4802648617,6.3058613756,6.029138142,-0.1744034861,-0.4511267197
20000609,6.5406623138,6.4885602601,6.3229964767,6.0300955492,-0.1655637834,-0.4584647109
20000612,6.5083759339,6.442786573,6.2468416443,5.9748171394,-0.1959449287,-0.4679694336
