Date,vixo,vixh,vixl,vix,vxoo,vxoh,vxol,vxo,vxno,vxnh,vxnl,vxn,vxdo,vxdh,vxdl,vxd
02JAN1986,,,,,17.93,18.71,17.4,18.07,,,,,,,,
03JAN1986,,,,,19.04,19.1,17.72,17.96,,,,,,,,
06JAN1986,,,,,17.99,18.17,17.05,17.05,,,,,,,,
07JAN1986,,,,,18.01,18.11,17.3,17.39,,,,,,,,
08JAN1986,,,,,18.04,21.15,16.63,19.97,,,,,,,,
09JAN1986,,,,,19.11,21.66,19.11,20.2,,,,,,,,
10JAN1986,,,,,20.69,21.44,18.35,18.45,,,,,,,,
13JAN1986,,,,,18.91,19.57,18.29,18.8,,,,,,,,
14JAN1986,,,,,18.6,18.68,17.67,18.06,,,,,,,,
15JAN1986,,,,,18.46,18.87,17.25,18.87,,,,,,,,
16JAN1986,,,,,18.83,19.48,18.29,18.58,,,,,,,,
17JAN1986,,,,,19.45,19.87,17.99,17.99,,,,,,,,
20JAN1986,,,,,18.15,18.49,16.78,17.09,,,,,,,,
21JAN1986,,,,,17.38,17.61,16.01,16.86,,,,,,,,
22JAN1986,,,,,17.16,17.52,16.29,16.66,,,,,,,,
23JAN1986,,,,,17.32,17.48,16.76,17.14,,,,,,,,
24JAN1986,,,,,17.46,17.67,16.83,17.22,,,,,,,,
27JAN1986,,,,,17.36,18.11,17.01,17.38,,,,,,,,
28JAN1986,,,,,17.71,18.24,17.45,17.47,,,,,,,,
29JAN1986,,,,,18.55,19.09,17.84,18.76,,,,,,,,
30JAN1986,,,,,19.6,19.96,19.01,19.12,,,,,,,,
31JAN1986,,,,,19.45,20.52,19.08,19.58,,,,,,,,
03FEB1986,,,,,20.61,20.75,19.01,19.41,,,,,,,,
04FEB1986,,,,,19.86,21.24,19.78,20.82,,,,,,,,
05FEB1986,,,,,20.76,21.68,20.63,20.72,,,,,,,,
06FEB1986,,,,,21.49,22.08,20.92,21.07,,,,,,,,
07FEB1986,,,,,21.77,22.63,18.71,22.12,,,,,,,,
10FEB1986,,,,,21.14,21.34,20.39,20.4,,,,,,,,
11FEB1986,,,,,21.12,21.25,20.23,20.23,,,,,,,,
12FEB1986,,,,,20.82,20.86,19.38,19.53,,,,,,,,
13FEB1986,,,,,20.02,20.26,18.13,18.13,,,,,,,,
14FEB1986,,,,,19.31,19.56,17.88,17.96,,,,,,,,
18FEB1986,,,,,19.67,20.95,19.35,19.79,,,,,,,,
19FEB1986,,,,,20.38,21.42,19.91,20.72,,,,,,,,
20FEB1986,,,,,20.5,21.81,20.5,20.76,,,,,,,,
21FEB1986,,,,,21.16,21.73,20.61,21.27,,,,,,,,
24FEB1986,,,,,21.58,22.31,21.02,21.52,,,,,,,,
25FEB1986,,,,,21.95,22.61,21.58,22.05,,,,,,,,
26FEB1986,,,,,22.81,22.96,22.09,22.38,,,,,,,,
27FEB1986,,,,,22.29,23.01,21.11,21.39,,,,,,,,
28FEB1986,,,,,21.65,22.36,21.06,21.59,,,,,,,,
03MAR1986,,,,,21.88,22.16,21.09,21.17,,,,,,,,
04MAR1986,,,,,21.84,22.07,19.88,19.94,,,,,,,,
05MAR1986,,,,,20.76,21.13,20.08,20.42,,,,,,,,
06MAR1986,,,,,21.21,22.4,21.21,21.66,,,,,,,,
07MAR1986,,,,,22.02,22.56,21.32,21.39,,,,,,,,
10MAR1986,,,,,22.3,22.63,21.3,21.49,,,,,,,,
11MAR1986,,,,,22.01,22.39,21.02,21.87,,,,,,,,
12MAR1986,,,,,21.93,23.72,21.8,23.14,,,,,,,,
13MAR1986,,,,,23.93,25.08,23.42,24.29,,,,,,,,
14MAR1986,,,,,25.01,25.52,23.78,24.83,,,,,,,,
17MAR1986,,,,,26.19,26.49,25.39,25.45,,,,,,,,
18MAR1986,,,,,26.47,26.95,25.48,26.27,,,,,,,,
19MAR1986,,,,,26.55,26.79,25.13,25.82,,,,,,,,
20MAR1986,,,,,26.87,27.52,26.33,26.52,,,,,,,,
21MAR1986,,,,,27.13,27.49,25.85,26.91,,,,,,,,
24MAR1986,,,,,26.02,26.27,23.27,24.01,,,,,,,,
25MAR1986,,,,,25.12,25.7,24.29,24.4,,,,,,,,
26MAR1986,,,,,25.02,25.62,24.42,24.81,,,,,,,,
27MAR1986,,,,,24.94,25.12,22.73,23.56,,,,,,,,
